imdb_id,tconst,directors,writers
tt5826432,tt5826432,nm2618764,"nm2304786,nm2618764"
tt8155288,tt8155288,nm0484907,"nm0484907,nm1245146"
tt2584384,tt2584384,nm0169806,"nm9862836,nm0169806"
tt4736550,tt4736550,"nm5255757,nm0636675","nm5255757,nm2851010,nm13183582,nm1310430"
tt2382011,tt2382011,nm4775561,\N
tt0366551,tt0366551,nm0500444,"nm1375358,nm1376383"
tt0405422,tt0405422,nm0031976,"nm0031976,nm0136797"
tt0261392,tt0261392,nm0003620,nm0003620
tt0163651,tt0163651,"nm0919369,nm0919363",nm0381221
tt4044364,tt4044364,nm0688636,\N
tt2005151,tt2005151,nm0680846,"nm0157787,nm0680846,nm1429512,nm0493225"
tt5715874,tt5715874,nm0487166,"nm0487166,nm3328207"
tt3317234,tt3317234,nm1760830,"nm2981082,nm1760830,nm2796745,nm2981935"
tt7286456,tt7286456,nm0680846,"nm0680846,nm0798788,nm0004170,nm0277730,nm1047603"
tt7668870,tt7668870,nm3792134,"nm3792134,nm3539578"
tt8359848,tt8359848,nm0637615,nm0637615
tt8361028,tt8361028,nm3771823,"nm9807731,nm3771823,nm3561100"
tt8404614,tt8404614,nm0576987,nm0565026
tt0078446,tt0078446,"nm0004693,nm0001045","nm0001045,nm0001507"
tt0058006,tt0058006,nm0733790,"nm0510623,nm0733790,nm0811689"
tt2428170,tt2428170,nm2674307,"nm2674307,nm0243233"
tt4154796,tt4154796,"nm0751577,nm0751648","nm1321655,nm1321656,nm0498278,nm0456158,nm0800209,nm1921680,nm3053444,nm2757098,nm0317493,nm4160687,nm1293367,nm1411347"
tt1878870,tt1878870,nm2609807,nm2609807
tt5649144,tt5649144,nm0048918,"nm0048918,nm2022341"
tt5112578,tt5112578,nm2023590,"nm2049126,nm2431095"
tt5726616,tt5726616,nm0345174,"nm0412465,nm6056595"
tt2274648,tt2274648,nm0551076,"nm1184676,nm0586005"
tt7784604,tt7784604,nm4170048,nm4170048
tt6751668,tt6751668,nm0094435,"nm0094435,nm8243301"
tt6016744,tt6016744,nm3525467,"nm3525467,nm9237202,nm0054862,nm6682793,nm1590700,nm3319085,nm8685858"
tt2527336,tt2527336,nm0426059,"nm0426059,nm0000184"
tt2494362,tt2494362,nm0951975,nm0951975
tt4154756,tt4154756,"nm0751577,nm0751648","nm1321655,nm1321656,nm0498278,nm0456158,nm0800209,nm1921680,nm3053444,nm2757098,nm0317493,nm4160687,nm1293367,nm1411347"
tt4649466,tt4649466,nm0891216,"nm0963359,nm0891216,nm2092839,nm1733301"
tt1396484,tt1396484,nm0615592,"nm1286060,nm1560977,nm2477891,nm0000175"
tt5027774,tt5027774,nm1732981,nm1732981
tt5013056,tt5013056,nm0634240,nm0634240
tt5463162,tt5463162,nm0500610,"nm1014201,nm1116660,nm0005351,nm0509580,nm1436760"
tt5147214,tt5147214,"nm3125415,nm3464186",nm3464186
tt4225622,tt4225622,nm0629334,nm3929259
tt6293516,tt6293516,nm1179870,"nm0093252,nm1805350"
tt6116856,tt6116856,nm3464186,nm3464186
tt7349662,tt7349662,nm0000490,"nm4478735,nm5161275,nm0932551,nm0000490,nm9259302"
tt0053772,tt0053772,nm0000005,"nm0051923,nm0000005"
tt1598778,tt1598778,nm0001752,nm1994243
tt0106341,tt0106341,nm0208854,nm0208854
tt0120623,tt0120623,"nm0005124,nm0004056","nm0005124,nm0004056,nm0710020,nm0568490,nm0789624"
tt0399201,tt0399201,nm0000881,"nm1047021,nm0476064,nm0649460"
tt0993846,tt0993846,nm0000217,"nm1010540,nm0067789"
tt2368749,tt2368749,nm1633015,nm1633015
tt1667355,tt1667355,nm0394776,"nm0858399,nm0251536,nm2383312,nm0716973"
tt1605717,tt1605717,nm1049433,"nm0740160,nm1661186"
tt2763304,tt2763304,nm0000965,"nm0388076,nm0920543"
tt3890160,tt3890160,nm0942367,nm0942367
tt0120263,tt0120263,nm0027815,nm0027815
tt0118789,tt0118789,nm0001252,"nm0001252,nm0046750"
tt0113568,tt0113568,nm0651900,"nm0794385,nm0411872"
tt0243017,tt0243017,nm0000500,nm0000500
tt0063678,tt0063678,nm0001596,nm0001596
tt0068361,tt0068361,nm0000320,"nm0000320,nm0140643"
tt1736633,tt1736633,nm1258686,"nm0478934,nm1258686,nm1258777"
tt1235841,tt1235841,nm1391924,nm1391924
tt2103217,tt2103217,nm0451076,"nm0014960,nm0505183,nm0818874"
tt3315342,tt3315342,nm0003506,"nm0003506,nm0291082,nm0338169,nm0739661,nm0859471,nm0918083,nm1079460,nm2092839,nm4022192"
tt5247022,tt5247022,nm0000464,"nm0000464,nm0931937,nm3143010"
tt4714568,tt4714568,nm1244603,"nm1244603,nm6224331,nm2901230"
tt5052448,tt5052448,nm1443502,nm1443502
tt0091670,tt0091670,nm0001789,nm0001789
tt0330243,tt0330243,nm0467666,nm0467666
tt0112913,tt0112913,nm0939182,nm0939182
tt0478304,tt0478304,nm0000517,nm0000517
tt0071615,tt0071615,nm0423524,nm0423524
tt0118749,tt0118749,nm0000759,nm0000759
tt2301592,tt2301592,nm0423524,nm0423524
tt3203606,tt3203606,nm0005366,"nm0573695,nm6983391"
tt3783958,tt3783958,nm3227090,nm3227090
tt4285496,tt4285496,nm1458734,"nm1458734,nm7518645,nm7518644,nm2662166"
tt4908644,tt4908644,nm1017958,nm6568618
tt5710514,tt5710514,nm0086301,nm0086301
tt0065193,tt0065193,nm0416036,"nm0416036,nm0796666"
tt1564585,tt1564585,"nm0833779,nm0833780","nm1634030,nm2880943"
tt1379182,tt1379182,nm0487166,"nm3328207,nm0487166"
tt0397892,tt0397892,"nm0397174,nm0930261","nm1557594,nm0930261"
tt0241760,tt0241760,nm0214036,nm0447583
tt0253556,tt0253556,nm0101385,"nm0149305,nm0676270,nm0338557"
tt0059578,tt0059578,nm0001466,"nm0001466,nm0607694,nm0898812,nm0006872,nm0217258,nm0223964"
tt0050986,tt0050986,nm0000005,nm0000005
tt1854564,tt1854564,nm0294457,"nm0973233,nm2292894"
tt0837562,tt0837562,nm0850733,"nm0063165,nm0806912,nm0244110,nm1087952,nm1156984"
tt0137223,tt0137223,nm7441402,\N
tt3078242,tt3078242,nm3189793,"nm3189793,nm5827220"
tt2582846,tt2582846,nm1837748,"nm2354099,nm2352210,nm1981261"
tt0266697,tt0266697,nm0000233,"nm0000233,nm0000235"
tt1324999,tt1324999,nm0174374,"nm0742279,nm2769412"
tt0451079,tt0451079,"nm0371755,nm0553942","nm0666791,nm0202425,nm0317450"
tt0086190,tt0086190,nm0549658,"nm0001410,nm0000184"
tt0332379,tt0332379,nm0000500,nm0925234
tt0351283,tt0351283,"nm0201509,nm0569891","nm0123666,nm1129905,nm0201509,nm0569891"
tt0120363,tt0120363,"nm0005124,nm0105169,nm0881279","nm0005124,nm0230032,nm0105169,nm0004056,nm0398763,nm0150155,nm1274593"
tt0434409,tt0434409,nm0574625,"nm0905152,nm0905154,nm2331222"
tt0047396,tt0047396,nm0000033,"nm0371088,nm0941280"
tt0052357,tt0052357,nm0000033,"nm0178785,nm0853138,nm0092267,nm0092268,nm0027173"
tt0058461,tt0058461,nm0001466,"nm0093501,nm8800791,nm0146033,nm0001466,nm0173549,nm0000041,nm0223964,nm0452878,nm0856319,nm0884547"
tt0167261,tt0167261,nm0001392,"nm0866058,nm0909638,nm0101991,nm0801728,nm0001392"
tt0033467,tt0033467,nm0000080,"nm0542534,nm0000080,nm0002144,nm0219670,nm0448809"
tt0814255,tt0814255,nm0001060,"nm0864471,nm2292894"
tt1104001,tt1104001,nm2676052,"nm0457736,nm0395271,nm0460206,nm1600872,nm0513974,nm0531381"
tt0800003,tt0800003,nm1085552,"nm2021391,nm2009736"
tt0411477,tt0411477,nm0868219,"nm0868219,nm0586005"
tt0479952,tt0479952,"nm0201509,nm0569891","nm1000113,nm0201509,nm0569891,nm0123666,nm1129905"
tt0099365,tt0099365,nm0000600,"nm0000600,nm0679326,nm0706898,nm0325653,nm0325662"
tt0162222,tt0162222,nm0000709,nm0115310
tt0100157,tt0100157,nm0001661,"nm0000175,nm0001279"
tt0038650,tt0038650,nm0001008,"nm0329304,nm0352443,nm0001008,nm0842485,nm0827821,nm0933858"
tt0167260,tt0167260,nm0001392,"nm0866058,nm0909638,nm0101991,nm0001392"
tt1446714,tt1446714,nm0000631,"nm3123612,nm0511541,nm0639321,nm0795953"
tt1037222,tt1037222,nm0573732,"nm0032696,nm1363111,nm1028302"
tt0109830,tt0109830,nm0000709,"nm0343165,nm0744839"
tt0436339,tt0436339,nm0947087,"nm0926727,nm0926729,nm0947087,nm0416408"
tt1014759,tt1014759,nm0000318,"nm0941314,nm0140902"
tt0366548,tt0366548,"nm0004306,nm0171253,nm0606688","nm0004306,nm0171722,nm0606688,nm0171253"
tt0119707,tt0119707,nm0502954,"nm0095460,nm0440415,nm0923312,nm0864880,nm0295165,nm0007233"
tt0113855,tt0113855,nm0027271,"nm0095460,nm0864880,nm0238256"
tt0138704,tt0138704,nm0004716,"nm0004716,nm0347797,nm0914615"
tt0112573,tt0112573,nm0000154,nm0908824
tt0110413,tt0110413,nm0000108,nm0000108
tt2209764,tt2209764,nm0002892,nm1438698
tt2172935,tt2172935,nm0030735,"nm0030735,nm0381723,nm0005515,nm0004987,nm0874235"
tt0780536,tt0780536,nm1732981,nm1732981
tt0099685,tt0099685,nm0000217,"nm0683380,nm0000217"
tt0117951,tt0117951,nm0000965,"nm0920543,nm0388076"
tt0327554,tt0327554,nm0685759,"nm0004170,nm0714246,nm0104335,nm0274905,nm0736966"
tt0097576,tt0097576,nm0000229,"nm0090151,nm0000184,nm0583675,nm0442241"
tt1389137,tt1389137,nm0001081,"nm0112459,nm0001081,nm3349167"
tt1675434,tt1675434,"nm0619923,nm0865918","nm0619923,nm4778840,nm0865918"
tt1277953,tt1277953,"nm0201509,nm0569891,nm0970447","nm0201509,nm0000876,nm0123666,nm1129905,nm2593444"
tt1836944,tt1836944,nm2030556,"nm2030556,nm2032510"
tt1065073,tt1065073,nm0000500,nm0000500
tt2361423,tt2361423,nm0299173,"nm0914941,nm2584046"
tt1840309,tt1840309,nm1139726,"nm2489193,nm0961827,nm4316121"
tt2872718,tt2872718,nm0319659,nm0319659
tt1634122,tt1634122,nm0662529,"nm0566100,nm0204030,nm0701031,nm0905498"
tt0790736,tt0790736,nm0777881,"nm0006534,nm0542062,nm0229694,nm0006997,nm9592688"
tt1606378,tt1606378,nm0601382,"nm0940790,nm0861636"
tt0844471,tt0844471,"nm0520488,nm0588087","nm0520488,nm0588087,nm2360213,nm2360861,nm0338576"
tt1078912,tt1078912,nm0506613,"nm0304830,nm0502073"
tt0084503,tt0084503,nm0000570,nm0914166
tt0307453,tt0307453,"nm0074426,nm0421776,nm1224299","nm5022110,nm1224299,nm0042006,nm0073688,nm0084190,nm0692040,nm0769840,nm0931185,nm1019583,nm1659741"
tt0021749,tt0021749,nm0000122,"nm0000122,nm0139714,nm0188357"
tt0413267,tt0413267,"nm1844237,nm0401203","nm0696949,nm0780620,nm1844237,nm0912403,nm0011470,nm0825308,nm0254645,nm0744429,nm0776107,nm0830294"
tt0088763,tt0088763,nm0000709,"nm0000709,nm0301826"
tt1869716,tt1869716,nm2610231,"nm2610231,nm1779870"
tt1911644,tt1911644,nm0026442,"nm0006902,nm5460828,nm0092578"
tt1486185,tt1486185,nm0362566,nm0424901
tt0983193,tt0983193,nm0000229,"nm0378960,nm0595590,nm0942367,nm0180428"
tt0892782,tt0892782,"nm1224299,nm0970447","nm0285379,nm0938645,nm1224299,nm0008743,nm0074184,nm0970447"
tt0430922,tt0430922,nm0906476,"nm0000251,nm0380819,nm0748620,nm0906476,nm0547800"
tt1068680,tt1068680,nm0715636,"nm0831557,nm0666871,nm2361949,nm0991245"
tt0358082,tt0358082,"nm0917188,nm0757858","nm1865755,nm0304665,nm0541632,nm0593856,nm0572151"
tt0120746,tt0120746,nm0132709,"nm0191547,nm0254645,nm0744429,nm0415745,nm0260675"
tt0811080,tt0811080,"nm0905154,nm0905152","nm0905152,nm0905154,nm1033745"
tt0293662,tt0293662,"nm0504642,nm0477035","nm0000108,nm0436543"
tt0865556,tt0865556,nm0591450,nm0299301
tt0095647,tt0095647,nm0000570,nm0314665
tt0268380,tt0268380,"nm0917188,nm0757858","nm5022110,nm0073850,nm0010004,nm0107760,nm0174024,nm0797053,nm0862211,nm1154886,nm1157545"
tt0975645,tt0975645,nm0315065,"nm0572352,nm1067289"
tt1192628,tt1192628,nm0893659,"nm0517589,nm0893659,nm0126096"
tt1231583,tt1231583,nm0680846,"nm0169180,nm0293139,nm1186373,nm0680846"
tt0433035,tt0433035,nm0506613,"nm0309691,nm0319659,nm0505230,nm0558577"
tt1001526,tt1001526,nm0569891,"nm0774786,nm2523794"
tt0106856,tt0106856,nm0001708,nm0808076
tt0963966,tt0963966,nm0005509,"nm0465199,nm0742797,nm2188941,nm1215164,nm0076166"
tt0960144,tt0960144,nm0240797,"nm0001191,nm0806912,nm0031976"
tt0257106,tt0257106,nm0005540,"nm0915465,nm0005541,nm0424688,nm0064556,nm0294997,nm0783536,nm1010379,nm0333240,nm0689844,nm0811360,nm0915460"
tt0449010,tt0449010,nm0266777,"nm0118224,nm1845777"
tt0032553,tt0032553,nm0000122,nm0000122
tt1234721,tt1234721,nm0655683,"nm2440587,nm0627159,nm0591160"
tt1929263,tt1929263,nm0908824,"nm0908824,nm0662134,nm4455796,nm3004527"
tt0120667,tt0120667,nm1103162,"nm0004111,nm0289833,nm0498278,nm0456158"
tt0389860,tt0389860,nm0178997,"nm0466175,nm0641479"
tt1023111,tt1023111,nm0905592,nm0369675
tt0175142,tt0175142,nm0005540,"nm0915465,nm0005541,nm0424688,nm0064556,nm0294997,nm0783536"
tt0442933,tt0442933,nm0000709,"nm0000812,nm1511619,nm0301274"
tt0477347,tt0477347,nm0506613,"nm0304830,nm0502073,nm2025683"
tt0259324,tt0259324,nm0425756,nm0425756
tt0298148,tt0298148,"nm0011470,nm0038432,nm0970447","nm0825308,nm0011470,nm0830294,nm0826425,nm0918955,nm0970606,nm0230666,nm1844237,nm1019583,nm0970447,nm0254645,nm0744429,nm0776107"
tt0120912,tt0120912,nm0001756,"nm0192384,nm0330565,nm0266673"
tt1071875,tt1071875,"nm0004410,nm0962729","nm0991355,nm2397756,nm0275286"
tt1482459,tt1482459,"nm0719208,nm0049633","nm0317450,nm0666791,nm0202425"
tt3063516,tt3063516,nm0871860,"nm0424216,nm0005069,nm0871860,nm0046943,nm0806416"
tt2024469,tt2024469,nm1429471,"nm1622147,nm1496753,nm0257513"
tt1453405,tt1453405,nm0768959,"nm0768959,nm0314870,nm0047916"
tt1428538,tt1428538,nm2482088,"nm2482088,nm0342278,nm0342303"
tt1302011,tt1302011,nm0950775,"nm0008743,nm0074184,nm0717550,nm0903456"
tt1375670,tt1375670,nm0240797,"nm0001191,nm0937748"
tt0914863,tt0914863,nm0429964,nm0940974
tt0074285,tt0074285,nm0000361,"nm0000175,nm0169548"
tt0093870,tt0093870,nm0000682,"nm0627159,nm0591160"
tt0120657,tt0120657,"nm0001532,nm0000341","nm0000341,nm0936537,nm0507863"
tt0242653,tt0242653,"nm0905154,nm0905152","nm0905152,nm0905154"
tt1764651,tt1764651,nm0922346,"nm0921013,nm0000230,nm0442190,nm0013234,nm1709264"
tt2404463,tt2404463,nm0082450,nm1767754
tt1821694,tt1821694,nm0661751,"nm0388377,nm0388375,nm1979137,nm1216642"
tt0401729,tt0401729,nm0004056,"nm0004056,nm0028764,nm0149290,nm0123194"
tt1436562,tt1436562,nm0757858,"nm0757858,nm0427993,nm5333675,nm0722610,nm0827985,nm0893262,nm0363958"
tt1133985,tt1133985,nm0132709,"nm0075528,nm0338169,nm0973233,nm0325533"
tt1409024,tt1409024,nm0001756,"nm1000113,nm0192384"
tt1155076,tt1155076,nm0958969,"nm0614050,nm0436543"
tt1037705,tt1037705,"nm0400436,nm0400441",nm1729428
tt1190080,tt1190080,nm0000386,"nm0000386,nm0460057"
tt0405325,tt0405325,nm0593610,"nm1467549,nm0774792,nm0566407"
tt0435761,tt0435761,nm0881279,"nm0005124,nm0004056,nm0881279,nm1578335"
tt0892769,tt0892769,"nm0761498,nm0213450","nm0204030,nm0213450,nm0761498,nm2441763,nm0405190,nm1104057"
tt0448157,tt0448157,nm0000916,"nm1378206,nm0319213"
tt0385002,tt0385002,nm0591994,"nm0591994,nm1471990,nm0791285"
tt0099088,tt0099088,nm0000709,"nm0000709,nm0301826"
tt1318514,tt1318514,nm1012501,"nm0415425,nm0798646,nm0099541"
tt1542344,tt1542344,nm0000965,"nm0000965,nm0064479,nm1737008"
tt1136608,tt1136608,nm0088955,"nm0088955,nm2833612"
tt0356150,tt0356150,"nm0769840,nm0073688,nm0541635","nm0073688,nm0541635,nm0769840"
tt0389790,tt0389790,"nm0971239,nm9054338","nm0000632,nm0272324,nm0546267,nm0732165,nm0552092,nm1166844"
tt0258463,tt0258463,nm0510731,"nm0006904,nm0380819,nm0524924"
tt0212720,tt0212720,nm0000229,"nm0000735,nm0914668,nm0000229"
tt0234215,tt0234215,"nm0905154,nm0905152","nm0905152,nm0905154"
tt0316654,tt0316654,nm0000600,"nm0498278,nm0228492,nm0332184,nm0587692,nm0149290,nm0765091"
tt0370263,tt0370263,nm0027271,"nm0639321,nm0795953,nm0859029,nm0859049,nm0027271"
tt0298203,tt0298203,nm0000436,nm0798788
tt2369135,tt2369135,nm0915304,"nm1038345,nm0309691"
tt0481499,tt0481499,"nm0210320,nm0761498","nm0761498,nm0210320,nm0000092"
tt1245526,tt1245526,nm0777881,"nm0388377,nm0388375,nm1979137,nm1216642"
tt1049413,tt1049413,"nm0230032,nm0677037","nm0230032,nm0677037,nm0565336"
tt0467406,tt0467406,nm0718646,nm1959505
tt0057115,tt0057115,nm0836328,"nm0108595,nm0165412,nm0122446"
tt0454921,tt0454921,nm0610831,nm0175726
tt0114709,tt0114709,nm0005124,"nm0005124,nm0230032,nm0004056,nm0710020,nm0923736,nm0169505,nm0812513"
tt0126029,tt0126029,"nm0011470,nm0421776","nm0825308,nm0254645,nm0744429,nm0830294,nm0776107,nm0970606,nm1844237,nm0970447"
tt0181875,tt0181875,nm0001081,nm0001081
tt0119654,tt0119654,nm0001756,"nm0192384,nm0004412"
tt0319262,tt0319262,nm0000386,"nm0000386,nm0618680"
tt0094226,tt0094226,nm0000361,"nm0000519,nm0289708,nm0626479,nm0588079"
tt0405159,tt0405159,nm0000142,"nm0353673,nm0101801"
tt1596343,tt1596343,nm0510912,"nm0604555,nm0860155"
tt1205489,tt1205489,nm0000142,"nm1010405,nm3164738"
tt0080120,tt0080120,nm0001353,"nm0951050,nm0787072,nm0001353"
tt0910936,tt0910936,nm0337773,"nm0736622,nm1698571,nm0031976"
tt0398165,tt0398165,nm0781842,"nm0748665,nm0944003,nm1417242"
tt0942385,tt0942385,nm0001774,"nm0857620,nm0001774,nm1000113"
tt0338526,tt0338526,nm0814085,nm0814085
tt0322259,tt0322259,nm0005436,"nm0860155,nm0104973,nm0351929"
tt0413300,tt0413300,nm0000600,"nm0000600,nm0706898,nm0765091,nm0498278,nm0228492"
tt0096874,tt0096874,nm0000709,"nm0000709,nm0301826"
tt0454876,tt0454876,nm0000487,"nm1674631,nm1341735"
tt1267297,tt1267297,nm0711840,"nm2952284,nm0818746,nm5610426"
tt1637688,tt1637688,nm0629272,nm0629272
tt1216475,tt1216475,"nm0005124,nm0506977","nm0005124,nm0506977,nm1557594,nm0703078"
tt1013752,tt1013752,nm0510912,"nm0604555,nm0860155"
tt0232500,tt0232500,nm0003418,"nm0508446,nm0860155,nm0074980,nm0043742"
tt0463985,tt0463985,nm0510912,nm0604555
tt0936501,tt0936501,nm0603628,"nm0000108,nm0436543"
tt0948470,tt0948470,nm1989536,"nm0888743,nm0765091,nm0460141,nm0498278,nm0228492"
tt0317219,tt0317219,"nm0710020,nm0005124","nm0005124,nm0710020,nm0460146,nm1557594,nm1195697,nm1198436"
tt0112641,tt0112641,nm0000217,"nm0683380,nm0000217"
tt0064116,tt0064116,nm0001466,"nm0006872,nm0001466,nm0000783,nm0000934"
tt0383574,tt0383574,nm0893659,"nm0254645,nm0744429,nm0064181,nm0938684"
tt1583421,tt1583421,nm0160840,"nm1014201,nm1116660"
tt2547210,tt2547210,nm1156199,"nm1995388,nm1156199,nm0230058,nm0787864"
tt1408101,tt1408101,nm0009190,"nm0649460,nm0476064,nm0511541,nm0734472"
tt1454468,tt1454468,nm0190859,"nm0190859,nm0190861"
tt0796366,tt0796366,nm0009190,"nm0649460,nm0476064,nm0734472"
tt0822854,tt0822854,nm0298807,"nm2394211,nm0501380"
tt0092099,tt0092099,nm0001716,"nm0143596,nm0258390,nm1274594,nm0803730"
tt0382625,tt0382625,nm0000165,"nm0326040,nm1467010"
tt0073195,tt0073195,nm0000229,"nm0001940,nm0331956"
tt0253474,tt0253474,nm0000591,"nm0367838,nm0844262"
tt0181852,tt0181852,nm0609236,"nm0104335,nm0274905,nm0093328"
tt0088247,tt0088247,nm0000116,"nm0000116,nm0005036,nm0936537"
tt0093773,tt0093773,nm0001532,"nm0859029,nm0859049"
tt1091191,tt1091191,nm0000916,"nm0000916,nm2877226,nm0732961"
tt0266543,tt0266543,"nm0004056,nm0881279","nm0004056,nm0677037,nm0721675"
tt1228705,tt1228705,nm0269463,"nm0857620,nm0498278,nm1411347,nm1293367,nm0456158"
